,Name,Url,Ingredients,Calories,Carbs Grams,Protein Grams,Fat Grams
45,Chia Seed Quinoa Muffins,https://www.eatyourselfskinny.com/chia-seed-quinoa-muffins/,"['2 cups cooked quinoa', '¼ cup plain Greek yogurt', '1 cup whole wheat flour', '1 cup all-purpose flour', '2 Tbsp brown sugar', '1½ tsp. baking powder', '1 tsp. salt', '2 Tbsp chia seeds', '¾ cup unsweetened almond milk', '1 egg', '2 Tbsp honey', '1 tsp. vanilla extract']",110.0,20.6,4.0,1.5
46,Raspberry Honey Parfait,https://www.eatyourselfskinny.com/raspberry-honey-parfait/,"['1 cup raspberries', '2 tsp. honey', '½ cup non-fat vanilla Greek yogurt', '½ cup fat-free Cool Whip', '2 Tbsp granola']",144.0,23.6,6.7,0.7
47,Zucchini Cupcakes with Greek Yogurt Frosting,https://www.eatyourselfskinny.com/zucchini-cupcakes-with-greek-yogurt-frosting/,"['1 cup whole wheat flour', '¼ cup raw sugar', '¼ cup brown sugar packed', '1 tsp. ground cinnamon', '½ tsp. baking powder', '½ tsp. salt', '¼ tsp. baking soda', '2 eggs', '¼ cup almond milk', '1 cup cooked quinoa', '1 cup shredded zucchini', '¾ cup unsweetened applesauce', '1 tsp. vanilla', '6 oz. plain fat-free Greek Yogurt', '2 Tbsp honey', '1 tsp. vanilla', '1 tsp. lemon peel (as garnish)']",128.0,26.0,4.8,1.3
48,Post-Workout Banana Bites,https://www.eatyourselfskinny.com/post-workout-banana-bites/,"['5 bananas', '2 oz. vanilla Greek Yogurt', '1 Tbsp all-natural peanut butter']",110.0,23.6,2.5,1.6
49,Apple Cinnamon Baked Oatmeal,https://www.eatyourselfskinny.com/apple-cinnamon-baked-oatmeal/,"['2 cups rolled oats', '1½ tsp. baking powder', '¾ tsp. salt', '2 Tbsp chopped pecans', '¼ cup raisins', '2 cups diced apples (I used Granny Smith)', '3 eggs', '2 cups almond milk (or milk of your choice)', '½ tsp. vanilla extract', '3 Tbsp Splenda brown sugar blend (or ⅓ cup light brown sugar)', '½ tsp. ground cinnamon', '¼ tsp. nutmeg']",130.0,23.0,5.2,2.5
50,Whole Wheat Pumpkin Muffins,https://www.eatyourselfskinny.com/whole-wheat-pumpkin-muffins/,"['1 cup whole wheat flour', '½ cup all-purpose flour', '1 tsp. baking powder', '¼ tsp. baking soda', '1½ tsp. pumpkin spice', '½ tsp. cinnamon', '¼ cup + 2 Tbsp unsweetened applesauce', '1 cup pumpkin puree', '½ cup plain non-fat Greek yogurt', '1 egg', '½ cup raw sugar + 1 Tbsp for topping', '2 Tbsp chopped walnuts for topping', '1 Tbsp rolled oats if desired']",120.0,23.4,4.8,1.4
51,Rosemary and Sweet Potato Tart,https://www.eatyourselfskinny.com/rosemary-and-sweet-potato-tart/,"['1 sheet frozen puff pastry thawed', 'Flour for surface', '½ cup grated Gouda cheese', '¼ cup chopped walnuts toasted', 'Fresh rosemary and thyme as desired', 'For caramelized sweet potatoes:', '2 small sweet potatoes peeled and cut into ¼-inch thick rounds', '2 Tbsp olive oil', '1 Tbsp garlic minced', '½ cup of dry white wine', '¾ cup of low-sodium chicken stock', '1 Tbsp packed dark-brown sugar', '½ tsp. sea salt']",180.0,12.8,0.8,11.0
52,Gingerbread Apple Pancakes,https://www.eatyourselfskinny.com/gingerbread-apple-pancakes/,"['1 cup all-purpose flour', '1¼ cups whole wheat flour', '¼ cup packed brown sugar', '2 tsp. baking powder', '1 tsp. ground ginger', '1 tsp. cinnamon', '¼ tsp. nutmeg', '½ tsp. baking soda', '½ tsp. salt', '2 eggs lightly beaten', '1½ cups non-fat buttermilk', '3 Tbsp unsweetened applesauce']",92.0,17.5,3.6,0.7
53,Cranberry-Maple Cinnamon Rolls,https://www.eatyourselfskinny.com/cranberry-maple-cinnamon-rolls/,"['1 cup fat-free milk', '2 Tbsp pure maple syrup (or agave nectar)', '2 Tbsp butter', '1 tsp. salt', '¼ cup warm water', '1 package active dry yeast', '1 egg lightly beaten', '1¼ cups whole wheat flour', '2½ cups all purpose flour', '⅓ cup packed brown sugar', '2 tsp. ground cinnamon', '¼ cup dried cranberries', '¼ cup chopped pecans toasted', 'Maple-Brown Sugar Icing:', '2 Tbsp packed brown sugar', '1 Tbsp very hot water', '¾ cup powdered sugar', '¼ tsp. maple flavoring', '1-2 tsp. fat-free milk']",180.0,33.0,5.0,4.0
54,Apple Cinnamon Quinoa Cereal,https://www.eatyourselfskinny.com/apple-cinnamon-quinoa-cereal/,"['1 cup uncooked quinoa', '1 Tbsp butter divided', '2 medium apples chopped', '1½ cups cold water', '1 tsp. cinnamon', '½ tsp. apple pie spice', '3 Tbsp organic brown sugar', '¼ cup fat-free skim milk']",168.0,30.7,4.7,3.1
