,Name,Url,Ingredients,Calories,Carbs Grams,Protein Grams,Fat Grams
41,Skillet Spanish Quinoa,https://www.eatyourselfskinny.com/skillet-spanish-quinoa/,"['1 cup uncooked quinoa', '1 Tbsp olive oil', '2 cloves garlic minced', '1 small onion chopped', '1 green bell pepper chopped', '1 cup vegetable broth', '1 (15 oz) can petite diced tomatoes', '½ - 1 tsp. hot sauce (to your liking)', '1 tsp. chili powder', '½ tsp. cumin', '½ tsp. oregano', '¼ tsp. salt', 'Pinch pepper', '1 Tbsp cilantro roughly chopped']",159.0,26.4,5.1,4.1
42,Baked Spaghetti Squash Casserole,https://www.eatyourselfskinny.com/baked-spaghetti-squash-casserole/,"['2 ripe spaghetti squash', '1 Tbsp olive oil', '1 onion diced', '2 cloves garlic minced', '1 pound lean ground beef (95% lean)', '2 cups crushed tomatoes', '1 (8 oz) can tomato sauce', '½ cup low-sodium chicken broth', '1 tsp. Italian seasoning', '1 packet Stevia', 'Salt and pepper to taste', '2 Tbsp Parmesan cheese freshly grated', '3 Tbsp basil chopped (divided)', '1 cup mozzarella cheese shredded']",200.0,12.0,18.0,8.1
43,Spicy Sausage and Veggie Stir Fry,https://www.eatyourselfskinny.com/spicy-sausage-and-veggie-stir-fry/,"['1 onion diced', '1 clove garlic minced', '1 Tbsp olive oil', '4 links spicy jalapeno chicken sausage (I used Al Fresco) cut into ½ inch slices', '1 red bell pepper de-seeded and sliced', '1 orange bell pepper de-seeded and sliced', '1 yellow bell pepper de-seeded and sliced', '1 large head broccoli cut into florets', '1 (10 oz) can Rotel tomatoes drained', '1 tsp. Mrs. Dash onion and herb blend', '¼ tsp. red pepper flakes', 'Pinch of sea salt']",151.0,10.2,11.1,7.2
44,Sauteed Kale and Quinoa Skillet,https://www.eatyourselfskinny.com/sauteed-kale-and-quinoa-skillet/,"['½ cup quinoa', '1 cup chicken broth', '1 Tbsp olive oil', '1 onion chopped', '2 cloves garlic', '5 to 6 cups kale', '½ tsp. red pepper flakes (more or less to your liking)', 'Pinch of sea salt', '2 Tbsp Parmesan cheese grated', '2 Tbsp whole wheat Panko bread crumbs']",186.0,23.4,8.3,4.9
45,Sweet and Spicy Sweet Potato Fries,https://www.eatyourselfskinny.com/sweet-and-spicy-sweet-potato-fries/,"['2 medium sweet potatoes peeled and cut into fries', '2 tsp. cornstarch', '1 Tbsp olive oil', '1 tsp. garlic powder', '½ tsp. onion powder', '½ tsp. oregano', '½ tsp. chipotle chili powder', '1 Tbsp brown sugar', 'Sea salt']",105.0,16.5,0.8,3.3
46,Spaghetti Squash Boats with Spicy Sausage,https://www.eatyourselfskinny.com/spaghetti-squash-boats-with-spicy-sausage/,"['2 ripe spaghetti squash', '1 Tbsp olive oil', '1 yellow onion diced', '1 clove garlic minced', '1 lb. ground hot turkey sausage (I used Jennie-O)', '1 cup low-sodium chicken broth', '1 (10 oz) can Rotel tomatoes', '¼ cup half and half', 'Pinch red pepper flakes', '½ tsp. salt', '½ tsp. pepper', '½ cup part skim Mozzarella cheese shredded and divided', '2 Tbsp basil thinly sliced']",278.0,16.8,21.9,13.5
47,Healthy Cauliflower Fried “Rice”,https://www.eatyourselfskinny.com/healthy-cauliflower-fried-rice/,"['1 head cauliflower chopped into florets', '1 small yellow onion finely chopped', '½ cup frozen peas', '½ cup carrots cubed', '2 eggs beaten', '1 Tbsp sesame oil', '¼ cup low sodium soy sauce', '1 Tbsp light brown sugar', '⅛ tsp. ground ginger', 'Pinch red pepper flakes', '2 Tbsp green onions chopped']",131.0,13.5,6.5,6.3
48,{Healthy} Turkey and Sweet Potato Hash,https://www.eatyourselfskinny.com/healthy-turkey-and-sweet-potato-hash/,"['3 cups sweet potatoes peeled and cubed', '1 Tbsp olive oil', '1 yellow onion chopped', '1 clove garlic minced', '1 lb 99% fat-free ground turkey', '1 zucchini diced', '1 red bell pepper chopped', '1 tsp. ground cumin', '1 tsp. smoked paprika', '½ tsp. chili powder', '½ tsp. sea salt', '1 tsp. fresh parsley finely chopped']",264.0,25.9,30.8,4.8
49,Quinoa Mini Stuffed Peppers,https://www.eatyourselfskinny.com/quinoa-mini-stuffed-peppers/,"['36 mini sweet peppers (about 1-1/2 lb bag)', '1 Tbsp olive oil', '2 cloves garlic minced', '1 onion diced', '1 jalapeno minced', '¾ cup reserved sweet peppers diced', '1 cup vegetable broth', '1 (10 oz) can Rotel tomatoes', '¾ cup quinoa', '1 (15 oz) can black beans drained and rinsed', '¾ cup frozen corn', '1 tsp. chili powder', '½ tsp. cumin', '½ tsp. sea salt', '¼ tsp. black pepper', 'Handful cilantro roughly chopped', '½ cup shredded Mexican 4 cheese blend']",254.0,38.6,9.5,6.9
50,Asian Chicken Salad with Ginger-Sesame Dressing,https://www.eatyourselfskinny.com/asian-chicken-salad-with-ginger-sesame-dressing/,"['4 cups napa cabbage chopped', '2 cups red cabbage chopped', '½ cup shredded carrots', '½ cup snap peas', '⅓ cup baby corn', '⅓ cup bean sprouts', '1 red bell pepper sliced', '4 green onions chopped', '½ cup fresh cilantro chopped', '2 chicken breasts pounded out', 'Salt and pepper to taste', '2 Tbsp rice vinegar', '1 Tbsp reduced sodium soy sauce', '1 clove garlic', '1 Tbsp honey', '1 Tbsp fresh ginger peeled and minced', '¼ tsp. toasted sesame oil', '3 Tbsp olive oil']",307.0,20.9,26.6,12.2
